seed,success,num_steps
31,1,38701665
29,1,40383734
38,1,40291636
22,1,39881967
34,1,40193290
28,1,40606112
33,1,40291636
39,1,40383734
32,1,41232033
37,1,41377030
20,1,41270705
27,1,41355893
30,1,42101963
23,1,42323823
24,1,41809784
26,1,42609632
35,1,41809784
21,1,42323823
36,1,42609632
25,1,42713219
